Localidad,Departamento,Fuente,Tipo_Punto,PUNTO_DE_MUESTREO,Fecha_de_monitoreo,Ph,T_°C,TDS_mg_l,Turb_NTU,Salinidad_mg_l,As_mg_l,Fluor_mg_l,NO3_mg_l,OD_mg_l,Sat_O2_pct,Clorofila_ug_l,Algas_BGA,Cloro_libre_mg_l,Latitud,Longitud
CIUDAD DE TINOGASTA,TINOGASTA,SUBTERRANEA,,POZO B° 200 VV,12/5/2024,7.78,25.6,1273,0.19,1148.16,0.01,0.76,4.02,,,,,,-28.068797,-67.556181
CIUDAD DE TINOGASTA,TINOGASTA,SUBTERRANEA,,POZO GENDARMERÍA,12/5/2024,7.67,24.1,1417,0.25,1263.36,0.02,0.97,7.31,,,,,,-28.061586,-67.556538
SAN JOSE,TINOGASTA,SUBTERRANEA,,ENTRADA PLANTA ,12/5/2024,8.58,18.5,897.8,53.5,816,0.02,0.99,3.01,,,,,,-27.996619,-67.622957
LA PUNTILLA,TINOGASTA,SUBTERRANEA,,POZO,12/5/2024,8.18,26.8,945.5,0.22,871.04,0.004,0.61,7.27,,,,,,-28.116187,-67.50629
COPACABANA,TINOGASTA,SUBTERRANEA,,POZO GRECO,12/5/2024,7.67,25,1506,0.34,1338.88,0.01,1.75,5.21,,,,,,-28.173542,-67.493337
EL SALADO,TINOGASTA,SUBTERRANEA,,POZO B° CENTRO,12/5/2024,8.8,27.5,483.2,0.29,462.02,0.03,1.1,8.44,,,,,,-28.305119,-67.250988
EL SALADO,TINOGASTA,SUBTERRANEA,,POZO LOS GONZALES,12/5/2024,8.93,31,378.7,0.33,367.23,0.03,0.98,4.7,,,,,,-28.299632,-67.268409
EL PUEBLITO,TINOGASTA,SUBTERRANEA,,POZO,12/5/2024,7.64,26.5,2130,0.55,1845.76,0.01,1.05,0.73,,,,,,-28.287689,-67.160075
ACONQUIJA,ANDALGALA,SUBTERRANEA,,POZO EL LINDERO ,12/22/2024,7.77,26.8,401.2,7.24,381.89,0.03,0.36,1.48,,,,,,-27.47266,-66.01292
EL POTRERO,ANDALGALA,SUPERFICIAL,,CIS,4/15/2025,8.47,16.6,293.1,0.86,278.91,0.004,0.24,1.18,,,,,,-27.497826,-66.312787
CHOYA,ANDALGALA,SUPERFICIAL,,CIS,4/15/2025,8.3,16.2,318.3,0.71,301.76,0.009,0.19,0.67,,,,,,-27.508921,-66.375542
VILLA VIL,ANDALGALA,SUPERFICIAL,,CIS,4/15/2025,8.35,21.7,440.6,10.9,418.94,0.01,0.81,1.46,,,,,,-27.563051,-66.234102
LA AGUADA,ANDALGALA,SUPERFICIAL,,TOMA CAMPING,9/4/2025,7.93,12.2,179.7,7.85,177.6,0.004,0.73,0.32,,,,,,-27.521352, -66.280548
CHOYA,ANDALGALA,SUPERFICIAL,,CIS,9/4/2025,8.85,11.2,374.1,0.92,355.14,0.004,0.49,0.42,,,,,,-27.507006,-66.373214
EL POTRERO,ANDALGALA,SUPERFICIAL,,CIS,9/4/2025,8.34,11.7,328.1,1.17,312.19,0.004,0.52,0.35,,,,,,-27.497186,-66.311334
AMANAO,ANDALGALA,SUPERFICIAL,,CIS,9/5/2025,8.81,10.7,1262,2.78,1148.8,0.004,0.99,0.24,,,,,,-27.514243,-66.505799
HUACO,ANDALGALA,SUBTERRANEA,,POZO,9/5/2025,7.23,19,519.8,0.52,494.46,0.004,0.87,0.21,,,,,,-27.618061,-66.336472
RECREO,SANTA MARIA,SUBTERRANEA,,POZO VIALIDAD,4/22/2025,7.85,18.8,593.7,0.61,561.98,0.01,0.55,15.48,,,,,,-26.723578,-66.054577
LORO HUASI,SANTA MARIA,SUBTERRANEA,,POZO,4/22/2025,8.06,19.5,552.9,0.57,525.7,0.004,0.34,15.36,,,,,,-26.730568,-66.05119
CIUDAD DE SANTA MARIA,SANTA MARIA,SUBTERRANEA,,POZO B° LA SOLEDAD,4/22/2025,8.29,20.5,361.8,0.64,350.46,0.004,0.17,5.19,,,,,,-26.712127,-66.041736
